descriptor_id,complaint_type
ELECTRIC|POWER OUTAGE,ELECTRIC
Overgrown Tree/Branches|Hitting Phone/Cable Lines,Overgrown Tree/Branches
Sewer|Sewer Backup (Use Comments) (SA),Sewer
UNSANITARY CONDITION|PESTS,UNSANITARY CONDITION
Food Establishment|No Permit or License,Food Establishment
Noise|Noise: Construction Before/After Hours (NM1),Noise
Indoor Sewage|Sewage Leak,Indoor Sewage
Asbestos|Asbestos Complaint (B1),Asbestos
Water System|Hydrant Running (WC3),Water System
Curb Condition|Defacement,Curb Condition
Street Condition|Crash Cushion Defect,Street Condition
Curb Condition|Broken Curb,Curb Condition
Illegal Parking|Unauthorized Bus Layover,Illegal Parking
UNSANITARY CONDITION|SEWAGE,UNSANITARY CONDITION
Dirty Condition|Dog Waste,Dirty Condition
Unleashed Dog|Unleashed Dog in Public,Unleashed Dog
Illegal Tree Damage|Unauthorized Tree Pruning,Illegal Tree Damage
Noise|Noise: Manufacturing Noise (NK1),Noise
Traffic Signal Condition|Pedestrian Signal,Traffic Signal Condition
Noise|Noise: air condition/ventilation equipment (NV1),Noise
Animal-Abuse|Tortured,Animal-Abuse
Maintenance or Facility|Grass/Weeds,Maintenance or Facility
"Air Quality|Air: Odor/Fumes, Vehicle Idling (AD3)",Air Quality
Damaged Tree|Tree Alive - in Poor Condition,Damaged Tree
Residential Disposal Complaint|Trash or Recycling Not Secure,Residential Disposal Complaint
Taxi Complaint|Driver Complaint - Non Passenger,Taxi Complaint
GENERAL|BELL/BUZZER/INTERCOM,GENERAL
Rodent|Signs of Rodents,Rodent
Damaged Tree|Tree Leaning/Uprooted,Damaged Tree
DOOR/WINDOW|WINDOW PANE,DOOR/WINDOW
Maintenance or Facility|Unsecured Facility,Maintenance or Facility
Taxi Complaint|Driver Complaint - Passenger,Taxi Complaint
Water System|Hydrant Defective (WC2),Water System
Traffic Signal Condition|Ped Lamp,Traffic Signal Condition
Noise - Commercial|Loud Television,Noise - Commercial
Overgrown Tree/Branches|Blocking Street,Overgrown Tree/Branches
Maintenance or Facility|Rodent Sighting,Maintenance or Facility
Illegal Parking|Paper License Plates,Illegal Parking
Graffiti|Graffiti,Graffiti
Residential Disposal Complaint|Waste Set Out Too Early or Too Late,Residential Disposal Complaint
Dead Animal|Squirrel,Dead Animal
Animal-Abuse|Other (complaint details),Animal-Abuse
Overgrown Tree/Branches|Clear Street Light,Overgrown Tree/Branches
Sidewalk Condition|Broken Sidewalk,Sidewalk Condition
Vendor Enforcement|Food Vendor,Vendor Enforcement
Sidewalk Condition|Cellar Door Open/Unprotected,Sidewalk Condition
Abandoned Bike|Chained to Public Property,Abandoned Bike
Consumer Complaint|Restaurant,Consumer Complaint
GENERAL|VENTILATION SYSTEM,GENERAL
Vendor Enforcement|Non-Food Vendor,Vendor Enforcement
ELECTRIC|NO LIGHTING,ELECTRIC
Street Condition|Line/Marking - After Repaving,Street Condition
WATER LEAK|DAMP SPOT,WATER LEAK
Construction Lead Dust|In Common Areas,Construction Lead Dust
Violation of Park Rules|Smoking,Violation of Park Rules
SAFETY|CARBON MONOXIDE DETECTOR,SAFETY
SAFETY|SMOKE DETECTOR,SAFETY
Bridge Condition|Fence,Bridge Condition
Traffic Signal Condition|Underground,Traffic Signal Condition
Street Light Condition|Lamppost Knocked Down,Street Light Condition
Residential Disposal Complaint|Waste Not Separated,Residential Disposal Complaint
WATER LEAK|SLOW LEAK,WATER LEAK
HEAT/HOT WATER|APARTMENT ONLY,HEAT/HOT WATER
Indoor Air Quality|Other (Explain Below),Indoor Air Quality
Overgrown Tree/Branches|Traffic Sign or Signal Blocked,Overgrown Tree/Branches
Drinking|Underage - Licensed Est,Drinking
Graffiti|Police Report Requested,Graffiti
Indoor Air Quality|Sewage Odor,Indoor Air Quality
Water Conservation|Illegal Use Of A Hydrant (CIN),Water Conservation
"Street Sign - Dangling|No Parking, Standing, Stopping",Street Sign - Dangling
Noise - Commercial|Car/Truck Music,Noise - Commercial
GENERAL|JANITOR/SUPER,GENERAL
ELECTRIC|LIGHTING,ELECTRIC
APPLIANCE|ELECTRIC/GAS RANGE,APPLIANCE
DOOR/WINDOW|DOOR FRAME,DOOR/WINDOW
Food Establishment|Rodents/Insects/Garbage,Food Establishment
Obstruction|Weeds or Grass,Obstruction
GENERAL|SIGNAGE MISSING,GENERAL
GENERAL|COOKING GAS,GENERAL
Missed Collection|Trash,Missed Collection
UNSANITARY CONDITION|GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
ELEVATOR|MAINTENANCE,ELEVATOR
"Consumer Complaint|Bodega, Deli, or Convenience Store",Consumer Complaint
Missed Collection|Recycling - Paper/Metal/Glass/Rigid Plastic,Missed Collection
Urinating in Public|N/A,Urinating in Public
Traffic Signal Condition|Veh Signal Lamp,Traffic Signal Condition
PLUMBING|STEAM PIPE/RISER,PLUMBING
Noise - Commercial|Car/Truck Horn,Noise - Commercial
Animal-Abuse|No Shelter,Animal-Abuse
Cannabis Retailer|Unlicensed,Cannabis Retailer
DOOR/WINDOW|DOOR,DOOR/WINDOW
Water System|Dirty Water (WE),Water System
Consumer Complaint|Hotel or Motel,Consumer Complaint
Outdoor Dining|Sidewalk Zone Blocked,Outdoor Dining
Sewer|Manhole Cover Missing (Emergency) (SA3),Sewer
Dead Animal|Opossum,Dead Animal
Maintenance or Facility|Garbage or Litter,Maintenance or Facility
Lost Property|Electronics/Phones,Lost Property
Rodent|Mouse Sighting,Rodent
Obstruction|Sign,Obstruction
Cannabis Retailer|Too Close to a School,Cannabis Retailer
PLUMBING|BATHTUB/SHOWER,PLUMBING
Animal in a Park|Dead Animal,Animal in a Park
Maintenance or Facility|Hours of Operation,Maintenance or Facility
Dead Animal|Rat or Mouse,Dead Animal
Violation of Park Rules|Obstructing Public Use,Violation of Park Rules
"Air Quality|Air: Odor/Fumes, Restaurant (AD2)",Air Quality
Lot Condition|Trash,Lot Condition
Noise - Helicopter|Other,Noise - Helicopter
General Construction/Plumbing|Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,General Construction/Plumbing
Elevator|Elevator - Single Device On Property/No Alternate Service,Elevator
Traffic Signal Condition|Veh Sgnl Mult Lamps,Traffic Signal Condition
Maintenance or Facility|Structure - Indoors,Maintenance or Facility
Building/Use|Illegal Conversion Of Residential Building/Space,Building/Use
Missed Collection|Bulky Trash,Missed Collection
Residential Disposal Complaint|Mattress or Box Spring Uncovered,Residential Disposal Complaint
"Air Quality|Air: Odor, Nail Salon (AD8)",Air Quality
General Construction/Plumbing|Failure To Maintain,General Construction/Plumbing
For Hire Vehicle Complaint|Driver Complaint - Passenger,For Hire Vehicle Complaint
Missed Collection|Bulky Recycling,Missed Collection
Elevator|Elevator - Multiple Devices On Property,Elevator
Illegal Tree Damage|Branches Damaged,Illegal Tree Damage
General Construction/Plumbing|Building Permit - None,General Construction/Plumbing
Street Condition|Plate Condition - Shifted,Street Condition
Food Establishment|Kitchen/Food Prep Area,Food Establishment
Sewer|Catch Basin Sunken/Damaged/Raised (SC1),Sewer
Drinking Water|Illness Caused by Drinking Water,Drinking Water
Water System|Leak (Use Comments) (WA2),Water System
Water System|Possible Water Main Break (Use Comments) (WA1),Water System
Commercial Disposal Complaint|Waste Left in Front of Residence,Commercial Disposal Complaint
Animal in a Park|Dog Off Leash,Animal in a Park
Street Sweeping Complaint|Inadequate Sweeping,Street Sweeping Complaint
ELECTRIC|WIRING,ELECTRIC
PLUMBING|TOILET,PLUMBING
Electrical|Electrical Wiring Defective/Exposed,Electrical
Building/Use|Zoning - Non-Conforming/Illegal Vehicle Storage,Building/Use
Bike/Roller/Skate|N/A,Bike/Roller/Skate
Outdoor Dining|Restaurant Status,Outdoor Dining
Poison Ivy|N/A,Poison Ivy
PLUMBING|RADIATOR,PLUMBING
Consumer Complaint|Ticket Seller,Consumer Complaint
Plumbing|Gas Hook-Up/Piping - Illegal Or Defective,Plumbing
SAFETY|FIRE ESCAPE,SAFETY
General Construction/Plumbing|Egress - Doors Locked/Blocked/Improper/No Secondary Means,General Construction/Plumbing
Sewer|Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
Lost Property|Clothing/Glasses,Lost Property
Sewer|Street Flooding (SJ),Sewer
"Water Conservation|Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Other (CWO)",Water Conservation
Sidewalk Condition|Blocked - Construction,Sidewalk Condition
Maintenance or Facility|Recreation Center,Maintenance or Facility
"Street Sign - Damaged|No Parking, Standing, Stopping",Street Sign - Damaged
Sidewalk Condition|Sidewalk Staircase,Sidewalk Condition
Street Light Condition|Street Light Dayburning,Street Light Condition
Water System|No Water (WNW),Water System
General Construction/Plumbing|Cons - Contrary/Beyond Approved Plans/Permits,General Construction/Plumbing
General Construction/Plumbing|Vent/Exhaust - Illegal/Improper,General Construction/Plumbing
"Air Quality|Air: Dust, Construction/Demolition (AE4)",Air Quality
General Construction/Plumbing|Building Shaking/Vibrating/Structural Stability,General Construction/Plumbing
General Construction/Plumbing|Adjacent Buildings Not Protected,General Construction/Plumbing
Building/Use|Illegal. Commercial Use In Resident Zone,Building/Use
Street Light Condition|Lamppost Damaged,Street Light Condition
"Air Quality|Air: Smoke, Chimney or vent (AS1)",Air Quality
Street Condition|Failed Street Repair,Street Condition
Bus Stop Shelter Complaint|Dirty/Graffiti,Bus Stop Shelter Complaint
Consumer Complaint|Supermarket or Grocery Store,Consumer Complaint
Taxi Report|Driver Report - Passenger,Taxi Report
Consumer Complaint|Tobacco Sales,Consumer Complaint
For Hire Vehicle Complaint|Car Service Company Complaint,For Hire Vehicle Complaint
"Street Sign - Missing|No Parking, Standing, Stopping",Street Sign - Missing
Litter Basket Request|New Basket,Litter Basket Request
Lost Property|Other,Lost Property
Violation of Park Rules|Unlicensed Vendors,Violation of Park Rules
Building/Use|No Certificate Of Occupancy/Illegal/Contrary To CO,Building/Use
Overgrown Tree/Branches|Hitting Power Lines,Overgrown Tree/Branches
Residential Disposal Complaint|Waste Left in Front of Other Residence,Residential Disposal Complaint
Street Condition|Dumpster - Construction Waste,Street Condition
Animal in a Park|Injured Wildlife,Animal in a Park
General Construction/Plumbing|Safety Inspection-Retaining Walls (May 2005),General Construction/Plumbing
"General Construction/Plumbing|Building - Vacant, Open And Unguarded",General Construction/Plumbing
ELECTRIC|OUTLET/SWITCH,ELECTRIC
Industrial Waste|Grease In Sewer/Catch Basin (IDG),Industrial Waste
Real Time Enforcement|Work Without A Permit - Occupied Multiple Dwelling,Real Time Enforcement
Missed Collection|Recycling - Paper,Missed Collection
Food Establishment|Odor,Food Establishment
Missed Collection|Compost,Missed Collection
Indoor Air Quality|Unsafe Mold Cleanup,Indoor Air Quality
General Construction/Plumbing|Structural Stability Impacted - New Building Under Construction,General Construction/Plumbing
Traffic Signal Condition|Ped Multiple Lamps,Traffic Signal Condition
Uprooted Stump|Remove Stump,Uprooted Stump
Street Sign - Dangling|Speed Limit,Street Sign - Dangling
Cranes and Derricks|Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,Cranes and Derricks
Taxi Complaint|Vehicle Complaint,Taxi Complaint
Street Condition|Blocked - Construction,Street Condition
Consumer Complaint|Electronics Store,Consumer Complaint
Indoor Air Quality|Dust from Construction,Indoor Air Quality
"Water Quality|Taste/Odor, Musty/Stale (QA4)",Water Quality
Asbestos|N/A,Asbestos
Violation of Park Rules|BBQ Outside Authorized Area,Violation of Park Rules
Day Care|Day Care Facility,Day Care
Traffic Signal Condition|Veh Signal Head,Traffic Signal Condition
Mold|Public Complaint - Comm Location,Mold
Consumer Complaint|Other Store (Non-Food),Consumer Complaint
Unsanitary Animal Pvt Property|Dog,Unsanitary Animal Pvt Property
Street Sign - Missing|St Name - Attached to Pole,Street Sign - Missing
Emergency Response Team (ERT)|After Hours Work - Illegal,Emergency Response Team (ERT)
Broken Parking Meter|Out of Order,Broken Parking Meter
Sidewalk Condition|Sidewalk Grating - Defective,Sidewalk Condition
General Construction/Plumbing|Fence - None/Inadequate,General Construction/Plumbing
Street Sign - Damaged|St Name - Over Intersection,Street Sign - Damaged
Unsanitary Pigeon Condition|Pigeon Waste,Unsanitary Pigeon Condition
Construction Lead Dust|Common Areas and Apartment,Construction Lead Dust
PAINT/PLASTER|CABINET,PAINT/PLASTER
Dead/Dying Tree|Planted Less Than 2 Years Ago,Dead/Dying Tree
Mobile Food Vendor|Smoke/Odor,Mobile Food Vendor
Traffic|Drag Racing,Traffic
Street Light Condition|Multiple Street Lights Out,Street Light Condition
General Construction/Plumbing|Debris - Excessive,General Construction/Plumbing
Sewer|Catch Basin Search (SC2),Sewer
"Air Quality|Air: Smoke, Vehicular (AA4)",Air Quality
Water System|LOW WATER PRESSURE - WLWP,Water System
Noise|Noise: Construction Equipment (NC1),Noise
Sewer|Sewer Odor (SA2),Sewer
Water Conservation|Water Meter Broken/Leaking - Other (CMO),Water Conservation
Water System|Hydrant Knocked Over/Missing (WC),Water System
Water Conservation|Water Meter Broken/Leaking - Private Residence (CMR),Water Conservation
Hazardous Materials|Chemical Odor (HD1),Hazardous Materials
Air Quality|Air: Other Air Problem (Use Comments) (AZZ),Air Quality
Industrial Waste|Chemical Spill (IAC),Industrial Waste
Sewer|Manhole Overflow (Use Comments) (SA1),Sewer
Noise|Noise:  lawn care equipment (NCL),Noise
Litter Basket Request|Replacement Basket,Litter Basket Request
Traffic|Congestion/Gridlock,Traffic
New Tree Request|For One Address,New Tree Request
Consumer Complaint|Garage or Parking Lot,Consumer Complaint
Pet Sale|Animals Sold From Residence,Pet Sale
Broken Parking Meter|Coin or Card Did Not Register,Broken Parking Meter
Maintenance or Facility|Graffiti or Vandalism,Maintenance or Facility
Animal-Abuse|Chained,Animal-Abuse
Illegal Tree Damage|Bicycle Chained to Tree,Illegal Tree Damage
Derelict Vehicles|Derelict Vehicles,Derelict Vehicles
Boilers|Boiler - Defective/Inoperative/No Permit,Boilers
"Consumer Complaint|Clothing, Shoe, or Accessories Store",Consumer Complaint
Special Projects Inspection Team (SPIT)|Illegal Hotel Rooms In Residential Building,Special Projects Inspection Team (SPIT)
Traffic Signal Condition|Post,Traffic Signal Condition
Curb Condition|Curb Defect-Metal Protruding,Curb Condition
"Consumer Complaint|Smoking, Cigar, or Vape Store",Consumer Complaint
Street Light Condition|Traffic Signal Light,Street Light Condition
Traffic Signal Condition|APS,Traffic Signal Condition
General Construction/Plumbing|Debris - Falling Or In Danger Of Falling,General Construction/Plumbing
Plumbing|Sprinkler System - Inadequate,Plumbing
Dirty Condition|Syringes,Dirty Condition
Violation of Park Rules|Biking/Rollerblading off Path,Violation of Park Rules
Illegal Tree Damage|Unauthorized Tree Removal,Illegal Tree Damage
Traffic Signal Condition|Base Door,Traffic Signal Condition
Ferry Inquiry|Lost and Found,Ferry Inquiry
Street Sign - Dangling|St Name - Attached to Pole,Street Sign - Dangling
Animal in a Park|Removing Wildlife,Animal in a Park
Special Projects Inspection Team (SPIT)|Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,Special Projects Inspection Team (SPIT)
Consumer Complaint|Employment Agency,Consumer Complaint
PAINT/PLASTER|DOOR/FRAME,PAINT/PLASTER
Unsanitary Animal Pvt Property|Other Animal,Unsanitary Animal Pvt Property
Broken Parking Meter|No Receipt,Broken Parking Meter
Dumpster Complaint|Blocking Sidewalk or Street,Dumpster Complaint
Bench|Damaged/Bent/Loose/Leaning,Bench
Food Establishment|Food Contaminated,Food Establishment
Obstruction|Merchandise,Obstruction
PAINT/PLASTER|RADIATOR,PAINT/PLASTER
Consumer Complaint|Laundromat,Consumer Complaint
Bus Stop Shelter Placement|New Bus Stop Shelter Placement,Bus Stop Shelter Placement
Consumer Complaint|Process Server,Consumer Complaint
Traffic Signal Condition|Warning Buzzer,Traffic Signal Condition
Dirty Condition|Dirt or Gravel,Dirty Condition
Missed Collection|Recycling - Metal/Glass/Rigid Plastic,Missed Collection
Street Sign - Damaged|Other/Unknown,Street Sign - Damaged
Street Sign - Dangling|Street Cleaning - ASP,Street Sign - Dangling
Illegal Posting|Flyer or Handbill,Illegal Posting
Obstruction|Sidewalk Display,Obstruction
General Construction/Plumbing|Illegal Conversion Of Commercial Bldg/Space To Other Uses,General Construction/Plumbing
Street Sign - Damaged|One Way,Street Sign - Damaged
Consumer Complaint|Street Fair Vendor,Consumer Complaint
Scaffold Safety|Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Scaffold Safety
General Construction/Plumbing|Site Conditions Endangering Workers,General Construction/Plumbing
Street Condition|Plate Condition - Anti-Skid,Street Condition
Street Sweeping Complaint|Street Not Swept,Street Sweeping Complaint
Street Light Condition|Fixture/Luminaire Door Open,Street Light Condition
OUTSIDE BUILDING|ROOFING,OUTSIDE BUILDING
Illegal Posting|Sticker or Decal,Illegal Posting
Mosquitoes|Large Number of Mosquitoes,Mosquitoes
Street Light Condition|Fixture/Luminaire Damaged,Street Light Condition
Unsanitary Animal Pvt Property|Cat,Unsanitary Animal Pvt Property
General Construction/Plumbing|Posted Notice Or Order Removed/Tampered With,General Construction/Plumbing
Traffic Signal Condition|LED Pedestrian Unit,Traffic Signal Condition
Consumer Complaint|Gas Station Pumps,Consumer Complaint
Consumer Complaint|Dry Cleaner,Consumer Complaint
Food Establishment|Food Contains Foreign Object,Food Establishment
Sanitation Worker or Vehicle Complaint|Inappropriate Behavior,Sanitation Worker or Vehicle Complaint
Food Poisoning|3 or More,Food Poisoning
SAFETY|WINDOW GUARD BROKEN/MISSING,SAFETY
Plumbing|Failure To Retain Water/Improper Drainage- (LL103/89),Plumbing
Street Light Condition|Lamppost Base Door/Cover Open,Street Light Condition
Consumer Complaint|Home Improvement Contractor,Consumer Complaint
Ferry Complaint|Delays,Ferry Complaint
Street Sign - Damaged|Stop,Street Sign - Damaged
Traffic Signal Condition|Veh Signal Visor,Traffic Signal Condition
General Construction/Plumbing|Curb Cut/Driveway/Carport - Illegal,General Construction/Plumbing
Traffic Signal Condition|Blank Out Matrix Sgn,Traffic Signal Condition
Traffic Signal Condition|Junction Box,Traffic Signal Condition
Obstruction|Donation Collection Bin,Obstruction
Traffic Signal Condition|Support Bracket,Traffic Signal Condition
Highway Condition|Graffiti - Highway,Highway Condition
Sidewalk Condition|Sidewalk Collapsed,Sidewalk Condition
Construction Lead Dust|Coming into Apartment,Construction Lead Dust
General Construction/Plumbing|Excavation Undermining Adjacent Building,General Construction/Plumbing
BEST/Site Safety|Demolition - Unsafe,BEST/Site Safety
Food Establishment|Food Temperature,Food Establishment
For Hire Vehicle Report|Driver Complaint - Non Passenger,For Hire Vehicle Report
Building/Use|SRO - Illegal Work/No Permit/Change In Occupancy/Use,Building/Use
Consumer Complaint|Used Car Dealer,Consumer Complaint
Street Light Condition|Lamppost Missing,Street Light Condition
Special Projects Inspection Team (SPIT)|Sign/Awning/Marquee - Illegal/No Permit,Special Projects Inspection Team (SPIT)
General Construction/Plumbing|Working Contrary To Stop Work Order,General Construction/Plumbing
Consumer Complaint|Tax Preparation Services,Consumer Complaint
Traffic|Truck Route Violation,Traffic
Special Projects Inspection Team (SPIT)|Privately Owned Public Space/Non-Compliance,Special Projects Inspection Team (SPIT)
SAFETY|SPRINKLER,SAFETY
Traffic Signal Condition|Vehicle Signal,Traffic Signal Condition
Food Establishment|Letter Grading,Food Establishment
Unsanitary Pigeon Condition|Pigeon Odor,Unsanitary Pigeon Condition
Street Sign - Missing|Stop,Street Sign - Missing
Dead Animal|Raccoon,Dead Animal
Litter Basket Complaint|Misuse,Litter Basket Complaint
Standing Water|Puddle in Ground,Standing Water
Missed Collection|Trash and Bulky Trash,Missed Collection
Dirty Condition|Debris from Car Accident,Dirty Condition
Lot Condition|Construction Debris,Lot Condition
"Air Quality|Air: Dust, Other (Use Comments) (AE5)",Air Quality
Green Taxi Complaint|Driver Complaint - Passenger,Green Taxi Complaint
Dumpster Complaint|Small uncovered dumpster,Dumpster Complaint
Sanitation Worker or Vehicle Complaint|Spilled Garbage,Sanitation Worker or Vehicle Complaint
Consumer Complaint|E-Cigarette Sales,Consumer Complaint
Street Sign - Dangling|Other/Unknown,Street Sign - Dangling
GENERAL|MAILBOX,GENERAL
Standing Water|Swimming Pool - Unmaintained,Standing Water
Street Light Condition|New Con Ed Service Request,Street Light Condition
Dead Animal|Bird,Dead Animal
Highway Condition|Cave-in,Highway Condition
Residential Disposal Complaint|Refrigerator or Freezer Door Attached,Residential Disposal Complaint
Harboring Bees/Wasps|Bees/Wasps - Not a beekeper,Harboring Bees/Wasps
Street Condition|Line/Marking - Faded,Street Condition
Food Establishment|Bare Hands in Contact w/ Food,Food Establishment
Residential Disposal Complaint|Storage Area Not Provided,Residential Disposal Complaint
Traffic|Chronic Stoplight Violation,Traffic
For Hire Vehicle Report|Car Service Company Report,For Hire Vehicle Report
Street Sign - Damaged|Bus Stop,Street Sign - Damaged
Bike Rack|Abandoned Bike,Bike Rack
Lot Condition|Appliances,Lot Condition
Dead Animal|Other,Dead Animal
Mobile Food Vendor|Equipment,Mobile Food Vendor
Sidewalk Condition|Newspaper Box Complaint,Sidewalk Condition
Commercial Disposal Complaint|Waste Disposal,Commercial Disposal Complaint
Dead Animal|Dog,Dead Animal
Consumer Complaint|Car Rental,Consumer Complaint
Highway Condition|Pothole - Highway,Highway Condition
Noise|Noise: Jack Hammering (NC2),Noise
Street Light Condition|Street Light Lamp Missing,Street Light Condition
Investigations and Discipline (IAD)|Investigative Inspection,Investigations and Discipline (IAD)
Street Sign - Dangling|Stop,Street Sign - Dangling
Street Sign - Damaged|St Name - Attached to Pole,Street Sign - Damaged
FLOORING/STAIRS|STAIRS,FLOORING/STAIRS
Lifeguard|Absent,Lifeguard
OUTSIDE BUILDING|SKYLIGHT,OUTSIDE BUILDING
Highway Condition|Dead Animal,Highway Condition
Consumer Complaint|Storage Warehouse,Consumer Complaint
Consumer Complaint|Scrap Metal Processor,Consumer Complaint
