descriptor_id,descriptor
Water System|Hydrant Leaking (WC1),Hydrant Leaking (WC1)
PLUMBING|WATER SUPPLY,WATER SUPPLY
"Noise|Noise, Barking Dog (NR5)","Noise, Barking Dog (NR5)"
Wood Pile Remaining|Remove Debris,Remove Debris
PAINT/PLASTER|WINDOW/FRAME,WINDOW/FRAME
ELECTRIC|POWER OUTAGE,POWER OUTAGE
Overgrown Tree/Branches|Hitting Phone/Cable Lines,Hitting Phone/Cable Lines
Sewer|Sewer Backup (Use Comments) (SA),Sewer Backup (Use Comments) (SA)
UNSANITARY CONDITION|PESTS,PESTS
Food Establishment|No Permit or License,No Permit or License
Noise|Noise: Construction Before/After Hours (NM1),Noise: Construction Before/After Hours (NM1)
Indoor Sewage|Sewage Leak,Sewage Leak
Asbestos|Asbestos Complaint (B1),Asbestos Complaint (B1)
Water System|Hydrant Running (WC3),Hydrant Running (WC3)
Curb Condition|Defacement,Defacement
Street Condition|Crash Cushion Defect,Crash Cushion Defect
Curb Condition|Broken Curb,Broken Curb
Illegal Parking|Unauthorized Bus Layover,Unauthorized Bus Layover
UNSANITARY CONDITION|SEWAGE,SEWAGE
Dirty Condition|Dog Waste,Dog Waste
Unleashed Dog|Unleashed Dog in Public,Unleashed Dog in Public
Illegal Tree Damage|Unauthorized Tree Pruning,Unauthorized Tree Pruning
Noise|Noise: Manufacturing Noise (NK1),Noise: Manufacturing Noise (NK1)
Traffic Signal Condition|Pedestrian Signal,Pedestrian Signal
Noise|Noise: air condition/ventilation equipment (NV1),Noise: air condition/ventilation equipment (NV1)
Animal-Abuse|Tortured,Tortured
Maintenance or Facility|Grass/Weeds,Grass/Weeds
"Air Quality|Air: Odor/Fumes, Vehicle Idling (AD3)","Air: Odor/Fumes, Vehicle Idling (AD3)"
Damaged Tree|Tree Alive - in Poor Condition,Tree Alive - in Poor Condition
Residential Disposal Complaint|Trash or Recycling Not Secure,Trash or Recycling Not Secure
Taxi Complaint|Driver Complaint - Non Passenger,Driver Complaint - Non Passenger
GENERAL|BELL/BUZZER/INTERCOM,BELL/BUZZER/INTERCOM
Rodent|Signs of Rodents,Signs of Rodents
Damaged Tree|Tree Leaning/Uprooted,Tree Leaning/Uprooted
DOOR/WINDOW|WINDOW PANE,WINDOW PANE
Maintenance or Facility|Unsecured Facility,Unsecured Facility
Taxi Complaint|Driver Complaint - Passenger,Driver Complaint - Passenger
Water System|Hydrant Defective (WC2),Hydrant Defective (WC2)
Traffic Signal Condition|Ped Lamp,Ped Lamp
Noise - Commercial|Loud Television,Loud Television
Overgrown Tree/Branches|Blocking Street,Blocking Street
Maintenance or Facility|Rodent Sighting,Rodent Sighting
Illegal Parking|Paper License Plates,Paper License Plates
Graffiti|Graffiti,Graffiti
Residential Disposal Complaint|Waste Set Out Too Early or Too Late,Waste Set Out Too Early or Too Late
Dead Animal|Squirrel,Squirrel
Animal-Abuse|Other (complaint details),Other (complaint details)
Overgrown Tree/Branches|Clear Street Light,Clear Street Light
Sidewalk Condition|Broken Sidewalk,Broken Sidewalk
Vendor Enforcement|Food Vendor,Food Vendor
Sidewalk Condition|Cellar Door Open/Unprotected,Cellar Door Open/Unprotected
Abandoned Bike|Chained to Public Property,Chained to Public Property
Consumer Complaint|Restaurant,Restaurant
GENERAL|VENTILATION SYSTEM,VENTILATION SYSTEM
Vendor Enforcement|Non-Food Vendor,Non-Food Vendor
ELECTRIC|NO LIGHTING,NO LIGHTING
Street Condition|Line/Marking - After Repaving,Line/Marking - After Repaving
WATER LEAK|DAMP SPOT,DAMP SPOT
Construction Lead Dust|In Common Areas,In Common Areas
Violation of Park Rules|Smoking,Smoking
SAFETY|CARBON MONOXIDE DETECTOR,CARBON MONOXIDE DETECTOR
SAFETY|SMOKE DETECTOR,SMOKE DETECTOR
Bridge Condition|Fence,Fence
Traffic Signal Condition|Underground,Underground
Street Light Condition|Lamppost Knocked Down,Lamppost Knocked Down
Residential Disposal Complaint|Waste Not Separated,Waste Not Separated
WATER LEAK|SLOW LEAK,SLOW LEAK
HEAT/HOT WATER|APARTMENT ONLY,APARTMENT ONLY
Indoor Air Quality|Other (Explain Below),Other (Explain Below)
Overgrown Tree/Branches|Traffic Sign or Signal Blocked,Traffic Sign or Signal Blocked
Drinking|Underage - Licensed Est,Underage - Licensed Est
Graffiti|Police Report Requested,Police Report Requested
Indoor Air Quality|Sewage Odor,Sewage Odor
Water Conservation|Illegal Use Of A Hydrant (CIN),Illegal Use Of A Hydrant (CIN)
"Street Sign - Dangling|No Parking, Standing, Stopping","No Parking, Standing, Stopping"
Noise - Commercial|Car/Truck Music,Car/Truck Music
GENERAL|JANITOR/SUPER,JANITOR/SUPER
ELECTRIC|LIGHTING,LIGHTING
APPLIANCE|ELECTRIC/GAS RANGE,ELECTRIC/GAS RANGE
DOOR/WINDOW|DOOR FRAME,DOOR FRAME
Food Establishment|Rodents/Insects/Garbage,Rodents/Insects/Garbage
Obstruction|Weeds or Grass,Weeds or Grass
GENERAL|SIGNAGE MISSING,SIGNAGE MISSING
GENERAL|COOKING GAS,COOKING GAS
Missed Collection|Trash,Trash
UNSANITARY CONDITION|GARBAGE/RECYCLING STORAGE,GARBAGE/RECYCLING STORAGE
ELEVATOR|MAINTENANCE,MAINTENANCE
"Consumer Complaint|Bodega, Deli, or Convenience Store","Bodega, Deli, or Convenience Store"
Missed Collection|Recycling - Paper/Metal/Glass/Rigid Plastic,Recycling - Paper/Metal/Glass/Rigid Plastic
Urinating in Public|N/A,N/A
Traffic Signal Condition|Veh Signal Lamp,Veh Signal Lamp
PLUMBING|STEAM PIPE/RISER,STEAM PIPE/RISER
Noise - Commercial|Car/Truck Horn,Car/Truck Horn
Animal-Abuse|No Shelter,No Shelter
Cannabis Retailer|Unlicensed,Unlicensed
DOOR/WINDOW|DOOR,DOOR
Water System|Dirty Water (WE),Dirty Water (WE)
Consumer Complaint|Hotel or Motel,Hotel or Motel
Outdoor Dining|Sidewalk Zone Blocked,Sidewalk Zone Blocked
Sewer|Manhole Cover Missing (Emergency) (SA3),Manhole Cover Missing (Emergency) (SA3)
Dead Animal|Opossum,Opossum
Maintenance or Facility|Garbage or Litter,Garbage or Litter
Lost Property|Electronics/Phones,Electronics/Phones
Rodent|Mouse Sighting,Mouse Sighting
Obstruction|Sign,Sign
Cannabis Retailer|Too Close to a School,Too Close to a School
PLUMBING|BATHTUB/SHOWER,BATHTUB/SHOWER
Animal in a Park|Dead Animal,Dead Animal
Maintenance or Facility|Hours of Operation,Hours of Operation
Dead Animal|Rat or Mouse,Rat or Mouse
Violation of Park Rules|Obstructing Public Use,Obstructing Public Use
"Air Quality|Air: Odor/Fumes, Restaurant (AD2)","Air: Odor/Fumes, Restaurant (AD2)"
Lot Condition|Trash,Trash
Noise - Helicopter|Other,Other
General Construction/Plumbing|Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None
Elevator|Elevator - Single Device On Property/No Alternate Service,Elevator - Single Device On Property/No Alternate Service
Traffic Signal Condition|Veh Sgnl Mult Lamps,Veh Sgnl Mult Lamps
Maintenance or Facility|Structure - Indoors,Structure - Indoors
Building/Use|Illegal Conversion Of Residential Building/Space,Illegal Conversion Of Residential Building/Space
Missed Collection|Bulky Trash,Bulky Trash
Residential Disposal Complaint|Mattress or Box Spring Uncovered,Mattress or Box Spring Uncovered
"Air Quality|Air: Odor, Nail Salon (AD8)","Air: Odor, Nail Salon (AD8)"
General Construction/Plumbing|Failure To Maintain,Failure To Maintain
For Hire Vehicle Complaint|Driver Complaint - Passenger,Driver Complaint - Passenger
Missed Collection|Bulky Recycling,Bulky Recycling
Elevator|Elevator - Multiple Devices On Property,Elevator - Multiple Devices On Property
Illegal Tree Damage|Branches Damaged,Branches Damaged
General Construction/Plumbing|Building Permit - None,Building Permit - None
Street Condition|Plate Condition - Shifted,Plate Condition - Shifted
Food Establishment|Kitchen/Food Prep Area,Kitchen/Food Prep Area
Sewer|Catch Basin Sunken/Damaged/Raised (SC1),Catch Basin Sunken/Damaged/Raised (SC1)
Drinking Water|Illness Caused by Drinking Water,Illness Caused by Drinking Water
Water System|Leak (Use Comments) (WA2),Leak (Use Comments) (WA2)
Water System|Possible Water Main Break (Use Comments) (WA1),Possible Water Main Break (Use Comments) (WA1)
Commercial Disposal Complaint|Waste Left in Front of Residence,Waste Left in Front of Residence
Animal in a Park|Dog Off Leash,Dog Off Leash
Street Sweeping Complaint|Inadequate Sweeping,Inadequate Sweeping
ELECTRIC|WIRING,WIRING
PLUMBING|TOILET,TOILET
Electrical|Electrical Wiring Defective/Exposed,Electrical Wiring Defective/Exposed
Building/Use|Zoning - Non-Conforming/Illegal Vehicle Storage,Zoning - Non-Conforming/Illegal Vehicle Storage
Bike/Roller/Skate|N/A,N/A
Outdoor Dining|Restaurant Status,Restaurant Status
Poison Ivy|N/A,N/A
PLUMBING|RADIATOR,RADIATOR
Consumer Complaint|Ticket Seller,Ticket Seller
Plumbing|Gas Hook-Up/Piping - Illegal Or Defective,Gas Hook-Up/Piping - Illegal Or Defective
SAFETY|FIRE ESCAPE,FIRE ESCAPE
General Construction/Plumbing|Egress - Doors Locked/Blocked/Improper/No Secondary Means,Egress - Doors Locked/Blocked/Improper/No Secondary Means
Sewer|Catch Basin Clogged/Flooding (Use Comments) (SC),Catch Basin Clogged/Flooding (Use Comments) (SC)
Lost Property|Clothing/Glasses,Clothing/Glasses
Sewer|Street Flooding (SJ),Street Flooding (SJ)
"Water Conservation|Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Other (CWO)","Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Other (CWO)"
Sidewalk Condition|Blocked - Construction,Blocked - Construction
Maintenance or Facility|Recreation Center,Recreation Center
"Street Sign - Damaged|No Parking, Standing, Stopping","No Parking, Standing, Stopping"
Sidewalk Condition|Sidewalk Staircase,Sidewalk Staircase
Street Light Condition|Street Light Dayburning,Street Light Dayburning
Water System|No Water (WNW),No Water (WNW)
General Construction/Plumbing|Cons - Contrary/Beyond Approved Plans/Permits,Cons - Contrary/Beyond Approved Plans/Permits
General Construction/Plumbing|Vent/Exhaust - Illegal/Improper,Vent/Exhaust - Illegal/Improper
"Air Quality|Air: Dust, Construction/Demolition (AE4)","Air: Dust, Construction/Demolition (AE4)"
General Construction/Plumbing|Building Shaking/Vibrating/Structural Stability,Building Shaking/Vibrating/Structural Stability
General Construction/Plumbing|Adjacent Buildings Not Protected,Adjacent Buildings Not Protected
Building/Use|Illegal. Commercial Use In Resident Zone,Illegal. Commercial Use In Resident Zone
Street Light Condition|Lamppost Damaged,Lamppost Damaged
"Air Quality|Air: Smoke, Chimney or vent (AS1)","Air: Smoke, Chimney or vent (AS1)"
Street Condition|Failed Street Repair,Failed Street Repair
Bus Stop Shelter Complaint|Dirty/Graffiti,Dirty/Graffiti
Consumer Complaint|Supermarket or Grocery Store,Supermarket or Grocery Store
Taxi Report|Driver Report - Passenger,Driver Report - Passenger
Consumer Complaint|Tobacco Sales,Tobacco Sales
For Hire Vehicle Complaint|Car Service Company Complaint,Car Service Company Complaint
"Street Sign - Missing|No Parking, Standing, Stopping","No Parking, Standing, Stopping"
Litter Basket Request|New Basket,New Basket
Lost Property|Other,Other
Violation of Park Rules|Unlicensed Vendors,Unlicensed Vendors
Building/Use|No Certificate Of Occupancy/Illegal/Contrary To CO,No Certificate Of Occupancy/Illegal/Contrary To CO
Overgrown Tree/Branches|Hitting Power Lines,Hitting Power Lines
Residential Disposal Complaint|Waste Left in Front of Other Residence,Waste Left in Front of Other Residence
Street Condition|Dumpster - Construction Waste,Dumpster - Construction Waste
Animal in a Park|Injured Wildlife,Injured Wildlife
General Construction/Plumbing|Safety Inspection-Retaining Walls (May 2005),Safety Inspection-Retaining Walls (May 2005)
"General Construction/Plumbing|Building - Vacant, Open And Unguarded","Building - Vacant, Open And Unguarded"
ELECTRIC|OUTLET/SWITCH,OUTLET/SWITCH
Industrial Waste|Grease In Sewer/Catch Basin (IDG),Grease In Sewer/Catch Basin (IDG)
Real Time Enforcement|Work Without A Permit - Occupied Multiple Dwelling,Work Without A Permit - Occupied Multiple Dwelling
Missed Collection|Recycling - Paper,Recycling - Paper
Food Establishment|Odor,Odor
Missed Collection|Compost,Compost
Indoor Air Quality|Unsafe Mold Cleanup,Unsafe Mold Cleanup
General Construction/Plumbing|Structural Stability Impacted - New Building Under Construction,Structural Stability Impacted - New Building Under Construction
Traffic Signal Condition|Ped Multiple Lamps,Ped Multiple Lamps
Uprooted Stump|Remove Stump,Remove Stump
Street Sign - Dangling|Speed Limit,Speed Limit
Cranes and Derricks|Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal
Taxi Complaint|Vehicle Complaint,Vehicle Complaint
Street Condition|Blocked - Construction,Blocked - Construction
Consumer Complaint|Electronics Store,Electronics Store
Indoor Air Quality|Dust from Construction,Dust from Construction
"Water Quality|Taste/Odor, Musty/Stale (QA4)","Taste/Odor, Musty/Stale (QA4)"
Asbestos|N/A,N/A
Violation of Park Rules|BBQ Outside Authorized Area,BBQ Outside Authorized Area
Day Care|Day Care Facility,Day Care Facility
Traffic Signal Condition|Veh Signal Head,Veh Signal Head
Mold|Public Complaint - Comm Location,Public Complaint - Comm Location
Consumer Complaint|Other Store (Non-Food),Other Store (Non-Food)
Unsanitary Animal Pvt Property|Dog,Dog
Street Sign - Missing|St Name - Attached to Pole,St Name - Attached to Pole
Emergency Response Team (ERT)|After Hours Work - Illegal,After Hours Work - Illegal
Broken Parking Meter|Out of Order,Out of Order
Sidewalk Condition|Sidewalk Grating - Defective,Sidewalk Grating - Defective
General Construction/Plumbing|Fence - None/Inadequate,Fence - None/Inadequate
Street Sign - Damaged|St Name - Over Intersection,St Name - Over Intersection
Unsanitary Pigeon Condition|Pigeon Waste,Pigeon Waste
Construction Lead Dust|Common Areas and Apartment,Common Areas and Apartment
PAINT/PLASTER|CABINET,CABINET
Dead/Dying Tree|Planted Less Than 2 Years Ago,Planted Less Than 2 Years Ago
Mobile Food Vendor|Smoke/Odor,Smoke/Odor
Traffic|Drag Racing,Drag Racing
Street Light Condition|Multiple Street Lights Out,Multiple Street Lights Out
General Construction/Plumbing|Debris - Excessive,Debris - Excessive
Sewer|Catch Basin Search (SC2),Catch Basin Search (SC2)
"Air Quality|Air: Smoke, Vehicular (AA4)","Air: Smoke, Vehicular (AA4)"
Water System|LOW WATER PRESSURE - WLWP,LOW WATER PRESSURE - WLWP
Noise|Noise: Construction Equipment (NC1),Noise: Construction Equipment (NC1)
Sewer|Sewer Odor (SA2),Sewer Odor (SA2)
Water Conservation|Water Meter Broken/Leaking - Other (CMO),Water Meter Broken/Leaking - Other (CMO)
Water System|Hydrant Knocked Over/Missing (WC),Hydrant Knocked Over/Missing (WC)
Water Conservation|Water Meter Broken/Leaking - Private Residence (CMR),Water Meter Broken/Leaking - Private Residence (CMR)
Hazardous Materials|Chemical Odor (HD1),Chemical Odor (HD1)
Air Quality|Air: Other Air Problem (Use Comments) (AZZ),Air: Other Air Problem (Use Comments) (AZZ)
Industrial Waste|Chemical Spill (IAC),Chemical Spill (IAC)
Sewer|Manhole Overflow (Use Comments) (SA1),Manhole Overflow (Use Comments) (SA1)
Noise|Noise:  lawn care equipment (NCL),Noise:  lawn care equipment (NCL)
Litter Basket Request|Replacement Basket,Replacement Basket
Traffic|Congestion/Gridlock,Congestion/Gridlock
New Tree Request|For One Address,For One Address
Consumer Complaint|Garage or Parking Lot,Garage or Parking Lot
Pet Sale|Animals Sold From Residence,Animals Sold From Residence
Broken Parking Meter|Coin or Card Did Not Register,Coin or Card Did Not Register
Maintenance or Facility|Graffiti or Vandalism,Graffiti or Vandalism
Animal-Abuse|Chained,Chained
Illegal Tree Damage|Bicycle Chained to Tree,Bicycle Chained to Tree
Derelict Vehicles|Derelict Vehicles,Derelict Vehicles
Boilers|Boiler - Defective/Inoperative/No Permit,Boiler - Defective/Inoperative/No Permit
"Consumer Complaint|Clothing, Shoe, or Accessories Store","Clothing, Shoe, or Accessories Store"
Special Projects Inspection Team (SPIT)|Illegal Hotel Rooms In Residential Building,Illegal Hotel Rooms In Residential Building
Traffic Signal Condition|Post,Post
Curb Condition|Curb Defect-Metal Protruding,Curb Defect-Metal Protruding
"Consumer Complaint|Smoking, Cigar, or Vape Store","Smoking, Cigar, or Vape Store"
Street Light Condition|Traffic Signal Light,Traffic Signal Light
Traffic Signal Condition|APS,APS
General Construction/Plumbing|Debris - Falling Or In Danger Of Falling,Debris - Falling Or In Danger Of Falling
Plumbing|Sprinkler System - Inadequate,Sprinkler System - Inadequate
Dirty Condition|Syringes,Syringes
Violation of Park Rules|Biking/Rollerblading off Path,Biking/Rollerblading off Path
Illegal Tree Damage|Unauthorized Tree Removal,Unauthorized Tree Removal
Traffic Signal Condition|Base Door,Base Door
Ferry Inquiry|Lost and Found,Lost and Found
Street Sign - Dangling|St Name - Attached to Pole,St Name - Attached to Pole
Animal in a Park|Removing Wildlife,Removing Wildlife
Special Projects Inspection Team (SPIT)|Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal
Consumer Complaint|Employment Agency,Employment Agency
PAINT/PLASTER|DOOR/FRAME,DOOR/FRAME
Unsanitary Animal Pvt Property|Other Animal,Other Animal
Broken Parking Meter|No Receipt,No Receipt
Dumpster Complaint|Blocking Sidewalk or Street,Blocking Sidewalk or Street
Bench|Damaged/Bent/Loose/Leaning,Damaged/Bent/Loose/Leaning
Food Establishment|Food Contaminated,Food Contaminated
Obstruction|Merchandise,Merchandise
PAINT/PLASTER|RADIATOR,RADIATOR
Consumer Complaint|Laundromat,Laundromat
Bus Stop Shelter Placement|New Bus Stop Shelter Placement,New Bus Stop Shelter Placement
Consumer Complaint|Process Server,Process Server
Traffic Signal Condition|Warning Buzzer,Warning Buzzer
Dirty Condition|Dirt or Gravel,Dirt or Gravel
Missed Collection|Recycling - Metal/Glass/Rigid Plastic,Recycling - Metal/Glass/Rigid Plastic
Street Sign - Damaged|Other/Unknown,Other/Unknown
Street Sign - Dangling|Street Cleaning - ASP,Street Cleaning - ASP
Illegal Posting|Flyer or Handbill,Flyer or Handbill
Obstruction|Sidewalk Display,Sidewalk Display
General Construction/Plumbing|Illegal Conversion Of Commercial Bldg/Space To Other Uses,Illegal Conversion Of Commercial Bldg/Space To Other Uses
Street Sign - Damaged|One Way,One Way
Consumer Complaint|Street Fair Vendor,Street Fair Vendor
Scaffold Safety|Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident
General Construction/Plumbing|Site Conditions Endangering Workers,Site Conditions Endangering Workers
Street Condition|Plate Condition - Anti-Skid,Plate Condition - Anti-Skid
Street Sweeping Complaint|Street Not Swept,Street Not Swept
Street Light Condition|Fixture/Luminaire Door Open,Fixture/Luminaire Door Open
OUTSIDE BUILDING|ROOFING,ROOFING
Illegal Posting|Sticker or Decal,Sticker or Decal
Mosquitoes|Large Number of Mosquitoes,Large Number of Mosquitoes
Street Light Condition|Fixture/Luminaire Damaged,Fixture/Luminaire Damaged
Unsanitary Animal Pvt Property|Cat,Cat
General Construction/Plumbing|Posted Notice Or Order Removed/Tampered With,Posted Notice Or Order Removed/Tampered With
Traffic Signal Condition|LED Pedestrian Unit,LED Pedestrian Unit
Consumer Complaint|Gas Station Pumps,Gas Station Pumps
Consumer Complaint|Dry Cleaner,Dry Cleaner
Food Establishment|Food Contains Foreign Object,Food Contains Foreign Object
Sanitation Worker or Vehicle Complaint|Inappropriate Behavior,Inappropriate Behavior
Food Poisoning|3 or More,3 or More
SAFETY|WINDOW GUARD BROKEN/MISSING,WINDOW GUARD BROKEN/MISSING
Plumbing|Failure To Retain Water/Improper Drainage- (LL103/89),Failure To Retain Water/Improper Drainage- (LL103/89)
Street Light Condition|Lamppost Base Door/Cover Open,Lamppost Base Door/Cover Open
Consumer Complaint|Home Improvement Contractor,Home Improvement Contractor
Ferry Complaint|Delays,Delays
Street Sign - Damaged|Stop,Stop
Traffic Signal Condition|Veh Signal Visor,Veh Signal Visor
General Construction/Plumbing|Curb Cut/Driveway/Carport - Illegal,Curb Cut/Driveway/Carport - Illegal
Traffic Signal Condition|Blank Out Matrix Sgn,Blank Out Matrix Sgn
Traffic Signal Condition|Junction Box,Junction Box
Obstruction|Donation Collection Bin,Donation Collection Bin
Traffic Signal Condition|Support Bracket,Support Bracket
Highway Condition|Graffiti - Highway,Graffiti - Highway
Sidewalk Condition|Sidewalk Collapsed,Sidewalk Collapsed
Construction Lead Dust|Coming into Apartment,Coming into Apartment
General Construction/Plumbing|Excavation Undermining Adjacent Building,Excavation Undermining Adjacent Building
BEST/Site Safety|Demolition - Unsafe,Demolition - Unsafe
Food Establishment|Food Temperature,Food Temperature
For Hire Vehicle Report|Driver Complaint - Non Passenger,Driver Complaint - Non Passenger
Building/Use|SRO - Illegal Work/No Permit/Change In Occupancy/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use
Consumer Complaint|Used Car Dealer,Used Car Dealer
Street Light Condition|Lamppost Missing,Lamppost Missing
Special Projects Inspection Team (SPIT)|Sign/Awning/Marquee - Illegal/No Permit,Sign/Awning/Marquee - Illegal/No Permit
General Construction/Plumbing|Working Contrary To Stop Work Order,Working Contrary To Stop Work Order
Consumer Complaint|Tax Preparation Services,Tax Preparation Services
Traffic|Truck Route Violation,Truck Route Violation
Special Projects Inspection Team (SPIT)|Privately Owned Public Space/Non-Compliance,Privately Owned Public Space/Non-Compliance
SAFETY|SPRINKLER,SPRINKLER
Traffic Signal Condition|Vehicle Signal,Vehicle Signal
Food Establishment|Letter Grading,Letter Grading
Unsanitary Pigeon Condition|Pigeon Odor,Pigeon Odor
Street Sign - Missing|Stop,Stop
Dead Animal|Raccoon,Raccoon
Litter Basket Complaint|Misuse,Misuse
Standing Water|Puddle in Ground,Puddle in Ground
Missed Collection|Trash and Bulky Trash,Trash and Bulky Trash
